연번,호선,역명,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,데이터기준일자
203,7호선,중화,30.6,14.7,536,10,0.6,2022-12-31
204,7호선,상봉,34.6,24.2,576,11.1,0.6,2022-12-31
205,7호선,면목,27,18.1,765,6.8,0.4,2022-12-31
206,7호선,사가정,37.7,18.8,666,7.3,0.4,2022-12-31
207,7호선,용마산,36.5,16.8,479,8,0.4,2022-12-31
208,7호선,중곡,30.7,19.4,500,6.7,0.4,2022-12-31
209,7호선,군자(7),40.3,19.8,514,6.3,0.4,2022-12-31
210,7호선,어린이대공원,26.4,13.1,693,8.9,0.4,2022-12-31
211,7호선,건대입구(7),29.7,13.6,544,12.6,0.6,2022-12-31
212,7호선,청담,24.6,15.4,583,10.6,0.6,2022-12-31
213,7호선,강남구청,26.5,18.4,622,10.3,0.4,2022-12-31
214,7호선,학동,34.3,19.7,724,12.3,0.4,2022-12-31
215,7호선,논현,30.3,17.9,561,11.7,0.5,2022-12-31
216,7호선,반포,27.7,12.7,734,11.6,0.5,2022-12-31
217,7호선,고속터미널(7),42.5,25.6,692,18.8,0.5,2022-12-31
218,7호선,내방,40.1,21.3,491,11.6,0.4,2022-12-31
219,7호선,이수(7),33.7,21.2,579,11.3,0.5,2022-12-31
220,7호선,남성,48.6,20.6,690,14.2,0.4,2022-12-31
221,7호선,숭실대입구,42.1,25.1,713,12.3,0.5,2022-12-31
222,7호선,상도,50.9,29.9,550,15.5,0.6,2022-12-31
223,7호선,장승배기,45.9,28.6,540,17.9,0.8,2022-12-31
224,7호선,신대방삼거리,28.8,19.1,540,14.7,0.6,2022-12-31
225,7호선,보라매,40.9,24.1,528,15.5,0.5,2022-12-31
226,7호선,신풍,31.2,16.2,716,10,0.4,2022-12-31
227,7호선,대림(7),27.5,16.5,859,11.4,0.5,2022-12-31
228,7호선,남구로,27.5,14.1,636,16.2,0.7,2022-12-31
229,7호선,가산디지털단지(7),29.3,15.3,672,16.9,0.5,2022-12-31
230,7호선,철산,29.2,13.9,546,14.1,0.4,2022-12-31
